year,months,sites,nmode,idx_real_pct,idx_meas_pct
2009,12,13.0,0.0,0.6354949367541869,0.41807275532041266
2010,12,41.0,2.0,0.21861621145060878,0.1070597527622469
2011,12,46.0,3.0,0.19837155775607718,0.08603610021837914
2012,12,47.0,3.0,0.18795133594629582,0.08174434377063645
2013,12,48.0,3.0,0.18893449026154485,0.0816979914676762
2014,12,53.0,3.0,0.18031465337840746,0.0781043234702489
2015,12,53.0,3.0,0.1832889489183556,0.07854432968671915
2016,12,53.0,3.0,0.18159544487122992,0.07807937734339421
2017,12,67.5,3.0,0.16807565753573736,0.07956363184182254
2018,12,74.0,3.0,0.16181955204964363,0.08378958958889608
2019,12,80.0,3.0,0.15338569634712745,0.08366653288749087
2020,12,95.0,3.0,0.14969374175219888,0.08679138971995265
2021,12,127.0,17.0,0.12369255544877092,0.07574757912613937
2022,12,146.0,23.5,0.12002554082113394,0.07515000702287042
2023,12,140.5,24.5,0.12067972591102666,0.0749439632212958
2024,12,138.0,24.0,0.12081624770564253,0.07493378959998999
2025,12,137.0,24.0,0.12054773827858933,0.07499518684621168
2026,7,138.0,24.0,0.12063210241333741,0.07551672259475384
