ym,nrow,nsite,nmode,idx_sig_real,idx_sig_meas,year
2009-01,322,11,0,0.6455711824895729,0.4236968161350818,2009
2009-02,350,13,0,0.6166959528791773,0.4191553087934369,2009
2009-03,353,12,0,0.6169771724263114,0.4173149806851694,2009
2009-04,345,13,0,0.6189721482201308,0.4193605131708292,2009
2009-05,328,12,0,0.6365527763835607,0.4169505143919099,2009
2009-06,364,12,0,0.6388925121693367,0.4188413496437137,2009
2009-07,364,12,0,0.634437097124813,0.4157072079690992,2009
2009-08,366,13,0,0.633956302969581,0.41600075226142175,2009
2009-09,372,14,0,0.6162761256073768,0.41794867915038636,2009
2009-10,358,13,0,0.6387217248577083,0.41815421628134997,2009
2009-11,347,13,0,0.6401684162675914,0.4193784847190312,2009
2009-12,339,13,0,0.638824023512797,0.41799129435947535,2009
2010-01,1363,40,2,0.23094212193443253,0.11301662024299365,2010
2010-02,1427,40,2,0.22129101337786794,0.10794879936964294,2010
2010-03,1427,41,2,0.2186198619959421,0.10691708357885957,2010
2010-04,1434,41,2,0.22044483917776292,0.1081697401295777,2010
2010-05,1420,40,2,0.21860325609926126,0.10657890610144032,2010
2010-06,1432,41,2,0.2208088525905761,0.10783021016372898,2010
2010-07,1434,41,2,0.21861256090527545,0.10720242194563423,2010
2010-08,1410,41,2,0.21962487670414418,0.11021895722848117,2010
2010-09,1459,42,2,0.21170538224670915,0.09260652666184037,2010
2010-10,1527,43,3,0.20082470883744027,0.08606401910407459,2010
2010-11,1555,43,3,0.2003097717967207,0.08654065007668857,2010
2010-12,1545,45,3,0.19891781176843285,0.08633640510644963,2010
2011-01,1524,44,3,0.20139380597095996,0.08602805630896469,2011
2011-02,1541,45,3,0.20050237662445536,0.08604414412779358,2011
2011-03,1585,46,3,0.198614334422718,0.08552524385348546,2011
2011-04,1580,45,3,0.20240540414683672,0.08634485364061352,2011
2011-05,1603,45,3,0.1994353810419927,0.08518623302377822,2011
2011-06,1600,45,3,0.2022372065674683,0.08729499468154224,2011
2011-07,1676,48,3,0.19558676255100949,0.08709943310188546,2011
2011-08,1772,48,3,0.1872444271816431,0.08609131423444803,2011
2011-09,1685,46,3,0.19812878108943632,0.08914741575022941,2011
2011-10,1796,48,3,0.18739686428723912,0.08527098087564695,2011
2011-11,1777,48,3,0.18884502161262917,0.08553413254996757,2011
2011-12,1765,47,3,0.18443636468239882,0.08127199399905301,2011
2012-01,1845,49,3,0.1838751994563894,0.08093917992514049,2012
2012-02,1842,49,3,0.1854920168000275,0.08176558186343504,2012
2012-03,1829,48,3,0.18434492094328422,0.08125715593020098,2012
2012-04,1844,50,3,0.18489157126172948,0.0815827559232199,2012
2012-05,1801,47,3,0.18790176504099745,0.08122393222358194,2012
2012-06,1786,47,3,0.18980633065321445,0.08191748869248233,2012
2012-07,1789,47,3,0.18800090685159418,0.08170040701038386,2012
2012-08,1815,47,3,0.1864519027218312,0.08172310567783787,2012
2012-09,1773,45,3,0.19083290948664772,0.08320236946584526,2012
2012-10,1748,47,3,0.19442955112954147,0.08202786232674568,2012
2012-11,1758,47,3,0.18822824141871386,0.08206699115238679,2012
2012-12,1765,47,3,0.19976213356453024,0.08591996429388375,2012
2013-01,1745,46,3,0.2020135004565285,0.08686360743602864,2013
2013-02,1677,45,3,0.20595288541022616,0.08836920106051006,2013
2013-03,1685,45,3,0.20419209067189287,0.08789352092760747,2013
2013-04,1727,47,3,0.20240950740680655,0.08751793589144703,2013
2013-05,1764,46,3,0.20026962425752623,0.08620738570923824,2013
2013-06,1790,46,3,0.18967881402033576,0.08295505269710315,2013
