cell,cell_lat,cell_lon,n_pairs,n_sites,depth_km
39.80_-122.90,39.8,-122.9,1,1,12.0
39.90_-122.20,39.9,-122.2,1,1,21.700715053764146
39.90_-122.80,39.9,-122.8,3,3,12.0
39.90_-122.90,39.9,-122.9,1,1,12.0
39.90_-123.00,39.9,-123.0,1,1,12.188201320132166
40.00_-122.30,40.0,-122.3,2,2,27.18256030150739
40.00_-122.40,40.0,-122.4,2,2,16.825623115576768
40.00_-122.50,40.0,-122.5,3,3,13.131808960270321
40.00_-122.60,40.0,-122.6,1,1,16.41500382409179
40.00_-122.70,40.0,-122.7,1,1,12.0
40.00_-122.80,40.0,-122.8,2,2,13.223554216867416
40.00_-122.90,40.0,-122.9,1,1,13.612090437361417
40.10_-122.20,40.1,-122.2,2,2,32.548873743719874
40.10_-122.30,40.1,-122.3,4,4,30.98000000000054
40.10_-122.40,40.1,-122.4,5,5,19.130111091201222
40.10_-122.50,40.1,-122.5,1,1,21.218029602220312
40.10_-122.60,40.1,-122.6,2,2,17.625061837456013
40.10_-122.70,40.1,-122.7,3,3,13.64587616349673
40.10_-122.80,40.1,-122.8,3,3,12.271392285983119
40.10_-122.90,40.1,-122.9,1,1,32.01573684211043
40.20_-122.20,40.2,-122.2,1,1,23.496832939331643
40.20_-122.30,40.2,-122.3,5,5,36.41168597168614
40.20_-122.40,40.2,-122.4,4,4,28.001859722000304
40.20_-122.50,40.2,-122.5,4,4,21.910493184400014
40.20_-122.60,40.2,-122.6,4,4,16.485546558705046
40.20_-122.70,40.2,-122.7,2,2,19.26849137931146
40.20_-122.80,40.2,-122.8,8,8,12.318276422763851
40.20_-122.90,40.2,-122.9,1,1,35.73733592938487
40.20_-123.10,40.2,-123.1,1,1,37.36504006410422
40.30_-122.20,40.3,-122.2,1,1,22.216000000003774
40.30_-122.30,40.3,-122.3,4,4,31.18390280538933
40.30_-122.40,40.3,-122.4,3,3,32.2311954436461
40.30_-122.50,40.3,-122.5,2,2,22.512944640753325
40.30_-122.60,40.3,-122.6,6,6,13.699542715348231
40.30_-122.70,40.3,-122.7,6,6,33.50422190712576
40.30_-122.80,40.3,-122.8,10,10,16.003011911513536
40.30_-122.90,40.3,-122.9,3,3,29.880440519483543
40.30_-123.00,40.3,-123.0,2,2,43.012558291095544
40.30_-123.10,40.3,-123.1,1,1,40.22164908049356
40.40_-122.40,40.4,-122.4,8,8,22.321011496666166
40.40_-122.50,40.4,-122.5,10,10,42.93932862190765
40.40_-122.60,40.4,-122.6,17,17,17.11538539553743
40.40_-122.70,40.4,-122.7,16,16,30.09275105978704
40.40_-122.80,40.4,-122.8,16,16,18.697006975269222
40.40_-122.90,40.4,-122.9,6,6,28.645978467387096
40.40_-123.00,40.4,-123.0,3,3,25.46251197445434
40.50_-122.40,40.5,-122.4,7,7,14.843428699820583
40.50_-122.50,40.5,-122.5,4,4,19.532747509010015
40.50_-122.60,40.5,-122.6,14,14,19.191294685991004
40.50_-122.70,40.5,-122.7,9,9,35.731049868766874
40.50_-122.80,40.5,-122.8,13,13,33.906188704768894
40.50_-122.90,40.5,-122.9,6,6,20.29258697410892
40.50_-123.00,40.5,-123.0,7,7,40.22486345903911
40.50_-123.10,40.5,-123.1,1,1,31.572869318182217
40.50_-123.20,40.5,-123.2,1,1,24.623875228019187
40.60_-122.00,40.6,-122.0,1,1,14.80505691056969
40.60_-122.40,40.6,-122.4,2,2,19.787582417586965
40.60_-122.50,40.6,-122.5,5,5,19.22501827040206
40.60_-122.60,40.6,-122.6,21,21,17.928773415591948
40.60_-122.70,40.6,-122.7,16,16,18.410896933676604
40.60_-122.80,40.6,-122.8,13,13,24.019982582732133
40.60_-122.90,40.6,-122.9,11,11,24.35653396367256
40.60_-123.00,40.6,-123.0,9,9,37.56073113616461
40.60_-123.10,40.6,-123.1,3,3,23.315778364111058
40.60_-123.20,40.6,-123.2,2,2,28.90287091222349
40.70_-122.40,40.7,-122.4,1,1,18.367360946745194
40.70_-122.50,40.7,-122.5,1,1,17.99342044134749
40.70_-122.60,40.7,-122.6,13,13,20.333267133508603
40.70_-122.70,40.7,-122.7,7,7,20.153881955999164
40.70_-122.80,40.7,-122.8,13,13,18.47414477524805
40.70_-122.90,40.7,-122.9,5,5,17.948926203208124
40.70_-123.00,40.7,-123.0,10,10,14.883647151898128
40.70_-123.10,40.7,-123.1,4,4,28.017957906712475
40.70_-123.20,40.7,-123.2,1,1,31.602619747899393
40.80_-122.50,40.8,-122.5,1,1,17.482684709601067
40.80_-122.60,40.8,-122.6,10,10,17.62906474820387
40.80_-122.70,40.8,-122.7,15,15,23.472646566162915
40.80_-122.80,40.8,-122.8,19,19,19.61460574137426
40.80_-122.90,40.8,-122.9,13,13,16.585124674357363
40.80_-123.00,40.8,-123.0,17,17,23.05625511596135
40.80_-123.10,40.8,-123.1,11,11,23.96110552764134
40.80_-123.20,40.8,-123.2,7,7,31.777749391727994
40.80_-123.30,40.8,-123.3,2,2,28.400151898733558
40.90_-122.00,40.9,-122.0,1,1,18.104356060605898
40.90_-122.40,40.9,-122.4,1,1,14.500727272727557
40.90_-122.60,40.9,-122.6,5,5,26.22388067526464
40.90_-122.70,40.9,-122.7,4,4,12.463575651412373
40.90_-122.80,40.9,-122.8,20,20,16.672392526092885
40.90_-122.90,40.9,-122.9,10,10,20.98341796407253
40.90_-123.00,40.9,-123.0,14,14,45.01096899224761
40.90_-123.10,40.9,-123.1,8,8,36.64961659333781
40.90_-123.20,40.9,-123.2,5,5,36.44628481345226
41.00_-122.50,41.0,-122.5,1,1,17.618936344969022
41.00_-122.60,41.0,-122.6,4,4,15.91885813148784
41.00_-122.70,41.0,-122.7,7,7,16.15616931304312
41.00_-122.80,41.0,-122.8,25,25,18.751966298834148
41.00_-122.90,41.0,-122.9,20,19,21.34776328462555
41.00_-123.00,41.0,-123.0,16,16,24.64532696546645
41.00_-123.10,41.0,-123.1,18,18,41.29665920168634
41.00_-123.20,41.0,-123.2,15,15,25.409221556888767
41.00_-123.40,41.0,-123.4,1,1,31.147882249564425
41.10_-122.80,41.1,-122.8,12,12,18.633709513195193
41.10_-122.90,41.1,-122.9,13,13,21.2295064989866
41.10_-123.00,41.1,-123.0,21,20,19.280436718616258
41.10_-123.10,41.1,-123.1,19,19,31.81127795526946
41.10_-123.20,41.1,-123.2,20,20,34.8203805668022
41.20_-122.60,41.2,-122.6,2,2,12.321305822498784
41.20_-122.70,41.2,-122.7,1,1,16.643174180348737
41.20_-122.80,41.2,-122.8,10,10,18.918021999169447
41.20_-122.90,41.2,-122.9,15,15,21.192869817990484
41.20_-123.00,41.2,-123.0,26,26,21.015237198150466
41.20_-123.10,41.2,-123.1,12,12,23.18416649059838
41.20_-123.20,41.2,-123.2,11,11,37.535041037861056
41.20_-123.30,41.2,-123.3,4,4,32.28819631901796
41.20_-123.40,41.2,-123.4,3,3,22.684204819275116
41.30_-122.80,41.3,-122.8,3,3,19.34791109060141
41.30_-122.90,41.3,-122.9,6,6,20.52290707587391
41.30_-123.00,41.3,-123.0,12,12,26.33548135484583
41.30_-123.10,41.3,-123.1,16,16,34.95890998783598
41.30_-123.20,41.3,-123.2,13,13,38.12499999999984
41.30_-123.30,41.3,-123.3,6,6,29.073701741106362
41.40_-122.70,41.4,-122.7,1,1,18.51700649878147
41.40_-122.80,41.4,-122.8,6,6,16.976274509804036
41.40_-122.90,41.4,-122.9,4,4,20.064127577733522
41.40_-123.00,41.4,-123.0,18,18,28.132406569112945
41.40_-123.10,41.4,-123.1,21,21,35.82711127487096
41.40_-123.20,41.4,-123.2,18,18,35.31473278933449
41.40_-123.30,41.4,-123.3,10,10,35.9475860585195
41.40_-123.40,41.4,-123.4,4,4,32.06476906318535
41.40_-123.50,41.4,-123.5,1,1,24.770335999999084
41.40_-123.60,41.4,-123.6,1,1,29.70105999999899
41.50_-122.80,41.5,-122.8,2,2,18.11069814147731
41.50_-122.90,41.5,-122.9,1,1,20.25436677545086
41.50_-123.00,41.5,-123.0,14,14,27.94907148120887
41.50_-123.10,41.5,-123.1,9,9,32.47885185610842
41.50_-123.20,41.5,-123.2,13,13,31.640672336512957
41.50_-123.30,41.5,-123.3,8,8,35.704970829114636
41.50_-123.40,41.5,-123.4,7,7,39.751385241123124
41.60_-122.70,41.6,-122.7,1,1,17.21752103544984
41.60_-122.80,41.6,-122.8,8,8,18.47055978832618
41.60_-122.90,41.6,-122.9,6,6,20.071031687546785
41.60_-123.00,41.6,-123.0,10,10,27.765736393304795
41.60_-123.10,41.6,-123.1,6,6,28.804791403286874
41.60_-123.20,41.6,-123.2,15,15,31.386852802309726
41.60_-123.30,41.6,-123.3,13,13,35.486640285894644
41.60_-123.40,41.6,-123.4,11,11,39.57897623476531
41.60_-123.50,41.6,-123.5,2,2,40.47399882425268
41.70_-122.80,41.7,-122.8,4,4,18.830421435175047
41.70_-122.90,41.7,-122.9,1,1,19.887696599642716
41.70_-123.00,41.7,-123.0,2,2,25.96891047006068
41.70_-123.10,41.7,-123.1,3,3,27.068734775504232
41.70_-123.20,41.7,-123.2,7,7,31.168522259089734
41.70_-123.30,41.7,-123.3,11,11,35.26830974267465
41.70_-123.40,41.7,-123.4,5,5,39.368097226260154
41.70_-123.50,41.7,-123.5,1,1,41.80318942896113
41.80_-123.00,41.8,-123.0,3,3,22.750616748699336
41.80_-123.10,41.8,-123.1,4,4,26.850404232284255
41.80_-123.20,41.8,-123.2,8,8,30.950191715869757
41.80_-123.30,41.8,-123.3,11,11,35.049979199454675
41.80_-123.40,41.8,-123.4,16,15,39.14976668304018
41.80_-123.50,41.8,-123.5,4,4,43.24955416662509
41.80_-123.60,41.8,-123.6,1,1,41.836462324634276
41.90_-123.00,41.9,-123.0,1,1,22.532286205479345
41.90_-123.10,41.9,-123.1,1,1,26.632073689064267
41.90_-123.20,41.9,-123.2,4,4,30.942232159536964
41.90_-123.30,41.9,-123.3,4,4,35.410637726508526
41.90_-123.40,41.9,-123.4,3,3,39.87904329348072
42.00_-123.10,42.0,-123.1,2,2,27.62002965626735
42.00_-123.20,42.0,-123.2,14,13,32.08843522323955
42.00_-123.30,42.0,-123.3,14,13,36.556840790211105
42.00_-123.40,42.0,-123.4,9,8,41.0252463571833
42.00_-123.50,42.0,-123.5,3,2,45.49365192415486
42.00_-123.60,42.0,-123.6,4,4,43.02147859678442
42.00_-123.80,42.0,-123.8,1,1,37.539326492338375
42.10_-123.10,42.1,-123.1,2,2,27.313923233783036
42.10_-123.20,42.1,-123.2,10,9,33.890261427717746
42.10_-123.30,42.1,-123.3,18,17,37.703043853913684
42.10_-123.40,42.1,-123.4,13,13,42.17144942088588
42.10_-123.50,42.1,-123.5,4,4,46.63985498785744
42.10_-123.60,42.1,-123.6,7,7,44.87448339945722
42.10_-123.70,42.1,-123.7,3,2,40.83984986427213
42.10_-123.80,42.1,-123.8,3,2,37.26663921676682
42.20_-123.10,42.2,-123.1,1,1,28.507087452569355
42.20_-123.20,42.2,-123.2,11,10,33.29856160140437
42.20_-123.30,42.2,-123.3,22,20,38.090035750238705
42.20_-123.40,42.2,-123.4,15,15,42.88150989907372
42.20_-123.50,42.2,-123.5,8,7,47.67298404790805
42.20_-123.60,42.2,-123.6,7,6,45.49287324476877
42.20_-123.70,42.2,-123.7,1,1,39.558832082873856
42.20_-123.80,42.2,-123.8,4,3,33.62479092097978
42.20_-124.00,42.2,-124.0,1,1,34.28290609766433
42.30_-123.10,42.3,-123.1,1,1,29.700251671355588
42.30_-123.20,42.3,-123.2,11,11,34.410093848867355
42.30_-123.30,42.3,-123.3,17,17,37.48448170434526
42.30_-123.40,42.3,-123.4,8,8,40.558869559823584
42.30_-123.50,42.3,-123.5,2,2,43.63325741530148
42.30_-123.60,42.3,-123.6,4,3,45.67304377971489
42.30_-123.80,42.3,-123.8,3,3,24.51877888730324
42.40_-123.00,42.4,-123.0,2,2,23.620611302629506
42.40_-123.10,42.4,-123.1,2,2,26.6949991581074
42.40_-123.20,42.4,-123.2,12,11,29.769387013585735
42.40_-123.30,42.4,-123.3,17,16,32.84377486906362
42.40_-123.40,42.4,-123.4,21,20,35.91816272454196
42.40_-123.50,42.4,-123.5,12,11,38.99255058001985
42.40_-123.60,42.4,-123.6,15,15,40.998618264659285
42.40_-123.70,42.4,-123.7,5,5,42.5331864104597
42.40_-123.80,42.4,-123.8,9,8,35.95906419400866
42.40_-123.90,42.4,-123.9,1,1,22.271703281025864
42.40_-124.00,42.4,-124.0,1,1,20.31606097806737
42.50_-123.20,42.5,-123.2,6,5,25.128680178304098
42.50_-123.30,42.5,-123.3,14,14,28.20306803378199
42.50_-123.40,42.5,-123.4,20,18,31.277455889260324
42.50_-123.50,42.5,-123.5,17,16,34.35184374473822
42.50_-123.60,42.5,-123.6,18,17,36.32419274960368
42.50_-123.70,42.5,-123.7,5,5,37.858760895404096
42.50_-123.80,42.5,-123.8,5,4,39.3933290412043
42.50_-123.90,42.5,-123.9,1,1,33.71198858773128
42.50_-124.00,42.5,-124.0,1,1,34.87264342122174
42.60_-123.20,42.6,-123.2,5,5,24.44521013457654
42.60_-123.30,42.6,-123.3,16,15,26.006259859263324
42.60_-123.40,42.6,-123.4,21,20,27.567309583950326
42.60_-123.50,42.6,-123.5,15,15,29.71113690945659
42.60_-123.60,42.6,-123.6,14,13,31.40604642313491
42.60_-123.70,42.6,-123.7,1,1,31.403636478944176
42.60_-123.80,42.6,-123.8,1,1,31.401226534753444
42.70_-123.20,42.7,-123.2,2,2,28.679462524981567
42.70_-123.30,42.7,-123.3,2,2,30.24051224966835
42.70_-123.40,42.7,-123.4,9,8,31.80156197435535
42.70_-123.50,42.7,-123.5,5,4,31.41017287353559
42.70_-123.60,42.7,-123.6,7,7,29.164571561868286
42.80_-123.20,42.8,-123.2,6,6,32.913714915386294
42.80_-123.30,42.8,-123.3,9,8,34.47476464007307
42.80_-123.40,42.8,-123.4,13,12,35.40088856539077
42.80_-123.50,42.8,-123.5,15,14,32.00158048250901
42.80_-123.60,42.8,-123.6,9,8,29.412960275085158
42.80_-123.70,42.8,-123.7,3,3,27.98526514955154
42.80_-123.80,42.8,-123.8,3,3,26.557570024018116
42.90_-123.20,42.9,-123.2,4,4,37.14796730579131
42.90_-123.30,42.9,-123.3,3,3,38.709017030478094
42.90_-123.40,42.9,-123.4,7,7,35.992296174364235
42.90_-123.50,42.9,-123.5,4,4,32.59298809148248
42.90_-123.60,42.9,-123.6,7,7,29.66134898830206
42.90_-123.70,42.9,-123.7,4,4,28.23365386276843
42.90_-123.80,42.9,-123.8,2,2,26.974140958158628
43.00_-123.20,43.0,-123.2,6,6,41.382219696196344
43.00_-123.30,43.0,-123.3,4,4,39.98301186621995
43.00_-123.40,43.0,-123.4,9,9,36.5837037833377
43.00_-123.50,43.0,-123.5,9,8,33.18439570045594
43.00_-123.60,43.0,-123.6,10,9,29.909737701518956
43.00_-123.70,43.0,-123.7,7,7,28.482042575985332
43.00_-123.80,43.0,-123.8,6,6,27.681173997085697
43.00_-124.00,43.0,-124.0,1,1,27.1834430071074
43.10_-123.20,43.1,-123.2,2,2,43.97372755807516
43.10_-123.30,43.1,-123.3,3,3,40.5744194751934
43.10_-123.40,43.1,-123.4,12,12,37.175111392311166
43.10_-123.50,43.1,-123.5,9,9,33.775803309429406
43.10_-123.60,43.1,-123.6,9,9,30.376495226547647
43.10_-123.70,43.1,-123.7,1,1,28.730431289202222
43.10_-123.80,43.1,-123.8,3,3,28.388207036012762
43.10_-123.90,43.1,-123.9,2,2,28.139341541023597
43.20_-123.30,43.2,-123.3,3,3,41.16582708416687
43.20_-123.40,43.2,-123.4,9,9,37.766519001284635
43.20_-123.50,43.2,-123.5,7,7,34.367210918402876
43.20_-123.60,43.2,-123.6,9,9,30.967902835521112
43.20_-123.70,43.2,-123.7,5,5,29.34410556992896
43.20_-123.80,43.2,-123.8,6,6,29.09524007493983
43.30_-123.30,43.3,-123.3,1,1,41.75723469314029
43.30_-123.40,43.3,-123.4,1,1,38.35792661025805
43.30_-123.50,43.3,-123.5,2,2,34.95861852737629
43.30_-123.60,43.3,-123.6,4,4,30.792334273654316
43.30_-123.70,43.3,-123.7,3,3,30.144221179631558
43.30_-123.80,43.3,-123.8,4,4,30.181880549307436
43.40_-123.20,43.4,-123.2,2,2,45.74795038499552
43.40_-123.30,43.4,-123.3,4,4,41.881266198007864
43.40_-123.40,43.4,-123.4,7,7,36.503204185994846
43.40_-123.50,43.4,-123.5,3,3,31.125142173982596
43.40_-123.60,43.4,-123.6,10,10,28.79703055056498
43.40_-123.70,43.4,-123.7,3,3,30.674931133865336
43.40_-123.80,43.4,-123.8,8,7,30.617602519031706
43.40_-123.90,43.4,-123.9,3,3,30.655261888707592
43.40_-124.00,43.4,-124.0,1,1,30.69292125838347
43.50_-123.20,43.5,-123.2,1,1,42.21407409833614
43.50_-123.30,43.5,-123.3,4,4,36.83601208632389
43.50_-123.40,43.5,-123.4,5,4,31.457950074310872
43.50_-123.50,43.5,-123.5,7,6,26.07988806229862
43.50_-123.60,43.5,-123.6,9,8,28.83319396333509
43.50_-123.70,43.5,-123.7,4,4,31.276782047011462
43.50_-123.80,43.5,-123.8,6,6,31.11502266572046
43.60_-123.20,43.6,-123.2,1,1,37.16881998665217
43.60_-123.30,43.6,-123.3,5,5,31.79075797463992
43.60_-123.40,43.6,-123.4,6,6,26.4126959626269
43.60_-123.50,43.6,-123.5,9,8,25.822385137616518
43.60_-123.60,43.6,-123.6,12,11,28.869357376105206
43.60_-123.70,43.6,-123.7,2,2,31.87863296015758
43.60_-123.80,43.6,-123.8,1,1,31.71687357886658
43.70_-123.30,43.7,-123.3,1,1,30.422650592699135
43.70_-123.40,43.7,-123.4,4,4,23.334998078067006
43.70_-123.50,43.7,-123.5,4,4,25.858548550386633
43.70_-123.60,43.7,-123.6,5,5,28.905520788875315
43.70_-123.70,43.7,-123.7,2,2,31.952493027364437
43.80_-123.20,43.8,-123.2,1,1,36.45748716645146
43.80_-123.30,43.8,-123.3,2,2,29.369834651820334
43.80_-123.40,43.8,-123.4,6,6,22.282182137188208
43.80_-123.50,43.8,-123.5,8,7,24.63162031688411
43.80_-123.60,43.8,-123.6,8,8,28.941684201645426
43.80_-123.70,43.8,-123.7,2,2,31.988656440134545
43.80_-123.80,43.8,-123.8,1,1,32.920575405158786
43.80_-124.00,43.8,-124.0,1,1,32.59705664257676
43.90_-123.20,43.9,-123.2,2,2,29.39717980290971
43.90_-123.30,43.9,-123.3,4,3,26.62724643829229
43.90_-123.40,43.9,-123.4,1,1,21.229366196309336
43.90_-123.50,43.9,-123.5,1,1,22.86115489354691
43.90_-123.60,43.9,-123.6,2,2,27.415371761016416
43.90_-123.70,43.9,-123.7,2,2,31.96958862848658
44.00_-123.10,44.0,-123.1,2,2,22.950662674801
44.00_-123.20,44.0,-123.2,4,4,20.18072931018318
44.00_-123.30,44.0,-123.3,7,6,17.6369333410517
44.00_-123.40,44.0,-123.4,3,3,20.271773267327582
44.00_-123.50,44.0,-123.5,3,3,23.297262217408935
44.00_-123.60,44.0,-123.6,7,6,27.851479084878445
44.00_-123.70,44.0,-123.7,2,2,32.4056959523486
