tag,stem,cell,cell_lat,cell_lon,sta_lat,sta_lon,n_days,sigma_daily,site
ALSE,alse,43.50_-123.50,43.5,-123.5,44.382,-123.59,2518,0.1464,0
ALSE,alse,43.60_-123.50,43.6,-123.5,44.382,-123.59,2587,0.2367,0
ALSE,alse,43.60_-123.60,43.6,-123.6,44.382,-123.59,2595,0.1295,0
ALSE,alse,43.70_-123.40,43.7,-123.4,44.382,-123.59,2139,0.1345,0
ALSE,alse,43.70_-123.70,43.7,-123.7,44.382,-123.59,2570,0.244,0
ALSE,alse,43.80_-123.60,43.8,-123.6,44.382,-123.59,2575,0.2528,0
ALSE,alse,43.80_-123.70,43.8,-123.7,44.382,-123.59,2571,0.1342,0
ALSE,alse,44.00_-123.60,44.0,-123.6,44.382,-123.59,2575,0.2762,0
ALSE,alse,44.10_-123.50,44.1,-123.5,44.382,-123.59,2587,0.2299,0
ALSE,alse,44.20_-123.40,44.2,-123.4,44.382,-123.59,251,0.6139,0
ALSE,alse,44.30_-123.40,44.3,-123.4,44.382,-123.59,60,0.2572,0
ALSE,alse,44.40_-123.60,44.4,-123.6,44.382,-123.59,2593,0.1951,0
ALSE,alse,44.40_-123.80,44.4,-123.8,44.382,-123.59,2347,0.2314,0
ALSE,alse,44.50_-123.40,44.5,-123.4,44.382,-123.59,2575,0.2525,0
ALSE,alse,44.50_-123.50,44.5,-123.5,44.382,-123.59,216,0.8336,0
ALSE,alse,44.50_-123.60,44.5,-123.6,44.382,-123.59,2590,0.2146,0
ALSE,alse,44.50_-123.80,44.5,-123.8,44.382,-123.59,2297,0.2207,0
ALSE,alse,44.60_-123.30,44.6,-123.3,44.382,-123.59,2370,0.2821,0
ALSE,alse,44.60_-123.40,44.6,-123.4,44.382,-123.59,2590,0.1529,0
ALSE,alse,44.60_-123.50,44.6,-123.5,44.382,-123.59,2592,0.1618,0
ALSE,alse,44.60_-123.60,44.6,-123.6,44.382,-123.59,2325,0.1538,0
ALSE,alse,44.60_-123.70,44.6,-123.7,44.382,-123.59,2250,0.2443,0
ALSE,alse,44.60_-123.80,44.6,-123.8,44.382,-123.59,1883,0.3628,0
ALSE,alse,44.60_-123.90,44.6,-123.9,44.382,-123.59,1982,0.1343,0
ALSE,alse,44.70_-123.30,44.7,-123.3,44.382,-123.59,2571,0.2856,0
ALSE,alse,44.70_-123.40,44.7,-123.4,44.382,-123.59,2082,0.3187,0
ALSE,alse,44.70_-123.50,44.7,-123.5,44.382,-123.59,2506,0.1886,0
ALSE,alse,44.70_-123.60,44.7,-123.6,44.382,-123.59,2347,0.2641,0
ALSE,alse,44.80_-123.00,44.8,-123.0,44.382,-123.59,2583,0.1789,0
ALSE,alse,44.80_-123.20,44.8,-123.2,44.382,-123.59,2553,0.1435,0
ALSE,alse,44.80_-123.40,44.8,-123.4,44.382,-123.59,2340,0.208,0
ALSE,alse,44.80_-123.50,44.8,-123.5,44.382,-123.59,2426,0.1962,0
ALSE,alse,44.80_-123.60,44.8,-123.6,44.382,-123.59,2596,0.1844,0
ALSE,alse,44.90_-123.40,44.9,-123.4,44.382,-123.59,2415,0.2165,0
ALSE,alse,44.90_-123.50,44.9,-123.5,44.382,-123.59,2389,0.2945,0
ALSE,alse,44.90_-123.60,44.9,-123.6,44.382,-123.59,2594,0.2717,0
ALSE,alse,45.00_-123.20,45.0,-123.2,44.382,-123.59,2593,0.1618,0
ALSE,alse,45.00_-123.30,45.0,-123.3,44.382,-123.59,2582,0.1683,0
ALSE,alse,45.00_-123.40,45.0,-123.4,44.382,-123.59,2587,0.0984,0
ALSE,alse,45.00_-123.50,45.0,-123.5,44.382,-123.59,2557,0.1443,0
