ym,nrow,nsite,n_illum
2009-01,322,11,385
2009-02,350,13,406
2009-03,353,12,403
2009-04,345,13,402
2009-05,328,12,382
2009-06,364,12,395
2009-07,364,12,398
2009-08,366,13,398
2009-09,372,14,415
2009-10,358,13,396
2009-11,347,13,394
2009-12,339,13,393
2010-01,1363,40,787
2010-02,1427,40,796
2010-03,1427,41,796
2010-04,1434,41,796
2010-05,1420,40,796
2010-06,1432,41,796
2010-07,1434,41,796
2010-08,1410,41,795
2010-09,1459,42,824
2010-10,1527,43,829
2010-11,1555,43,829
2010-12,1545,45,829
2011-01,1524,44,830
2011-02,1541,45,830
2011-03,1585,46,831
2011-04,1580,45,831
2011-05,1603,45,831
2011-06,1600,45,834
2011-07,1676,48,840
2011-08,1772,48,841
2011-09,1685,46,842
2011-10,1796,48,848
2011-11,1777,48,848
2011-12,1765,47,849
2012-01,1845,49,848
2012-02,1842,49,849
2012-03,1829,48,848
2012-04,1844,50,848
2012-05,1801,47,847
2012-06,1786,47,847
2012-07,1789,47,847
2012-08,1815,47,845
2012-09,1773,45,845
2012-10,1748,47,837
2012-11,1758,47,847
2012-12,1765,47,839
2013-01,1745,46,837
2013-02,1677,45,836
2013-03,1685,45,837
2013-04,1727,47,841
2013-05,1764,46,840
2013-06,1790,46,845
2013-07,1906,49,854
2013-08,1891,49,853
2013-09,1948,50,854
2013-10,1994,52,851
2013-11,2003,52,854
2013-12,2013,53,855
2014-01,2010,51,855
2014-02,2014,51,854
2014-03,2032,52,854
2014-04,2071,54,855
2014-05,2024,52,854
2014-06,2000,51,854
2014-07,2069,54,855
2014-08,2077,55,855
2014-09,2046,53,854
2014-10,2039,55,855
2014-11,2072,54,854
2014-12,2027,53,854
2015-01,1943,53,847
2015-02,2042,54,854
2015-03,1974,52,847
2015-04,1969,53,847
2015-05,1970,52,845
2015-06,2004,53,852
2015-07,2014,53,853
2015-08,2075,54,852
2015-09,2010,54,847
2015-10,2016,54,846
2015-11,2054,54,854
2015-12,2056,53,854
2016-01,1840,49,837
2016-02,2017,53,847
2016-03,2023,52,852
2016-04,2002,52,851
2016-05,2035,53,854
2016-06,2059,54,855
2016-07,2042,53,854
2016-08,2055,53,854
2016-09,2053,54,854
2016-10,2172,56,854
2016-11,2116,55,852
2016-12,2211,59,855
2017-01,2169,58,855
2017-02,2274,61,857
2017-03,2250,62,857
2017-04,2239,62,858
2017-05,2353,65,859
2017-06,2337,67,856
2017-07,2382,68,854
2017-08,2437,68,855
2017-09,2481,69,855
2017-10,2538,71,851
2017-11,2557,70,853
2017-12,2643,73,858
2018-01,2696,74,857
2018-02,2673,74,858
2018-03,2703,76,860
2018-04,2672,74,858
2018-05,2715,76,858
2018-06,2588,72,860
2018-07,2490,71,857
2018-08,2552,73,856
2018-09,2537,73,852
2018-10,2663,75,855
2018-11,2701,76,859
2018-12,2688,73,859
2019-01,2701,73,860
2019-02,2624,78,857
2019-03,2868,81,858
2019-04,2781,78,858
2019-05,2724,79,859
2019-06,2562,76,858
2019-07,2625,76,858
2019-08,2956,83,858
2019-09,2915,81,860
2019-10,2955,84,859
2019-11,3036,86,859
2019-12,3024,84,859
2020-01,2892,84,859
2020-02,2923,84,857
2020-03,3141,89,857
2020-04,3125,89,855
2020-05,3131,91,857
2020-06,3252,92,856
2020-07,3510,98,858
2020-08,3542,98,858
2020-09,3667,103,859
2020-10,3821,107,859
2020-11,4025,114,859
2020-12,3982,114,857
2021-01,3965,113,861
2021-02,3937,110,861
2021-03,3954,110,859
2021-04,4050,118,859
2021-05,4301,126,857
2021-06,4300,124,857
2021-07,4404,128,859
2021-08,4457,131,861
2021-09,4775,136,861
2021-10,4883,136,858
2021-11,5080,142,856
2021-12,5228,147,858
2022-01,5205,143,856
2022-02,5018,143,858
2022-03,5234,145,859
2022-04,5206,146,859
2022-05,5177,145,859
2022-06,5138,146,863
2022-07,5226,146,863
2022-08,5233,147,864
2022-09,5053,146,861
2022-10,5215,147,861
2022-11,5221,146,856
2022-12,5182,146,851
2023-01,5167,144,852
2023-02,5072,143,852
2023-03,4938,140,852
2023-04,4922,139,850
2023-05,5021,139,848
2023-06,4894,139,849
2023-07,5036,143,852
2023-08,5067,144,852
2023-09,4979,141,852
2023-10,4950,141,855
2023-11,4929,140,854
2023-12,4898,139,854
2024-01,4803,139,855
2024-02,4762,133,855
2024-03,4754,133,855
2024-04,4720,134,851
2024-05,4801,136,851
2024-06,4742,136,855
2024-07,4847,140,855
2024-08,4825,138,855
2024-09,4866,139,858
2024-10,4850,142,857
2024-11,4923,139,854
2024-12,4945,138,854
2025-01,4834,136,852
2025-02,4818,137,852
2025-03,4882,136,852
2025-04,4792,137,852
2025-05,4973,141,853
2025-06,4885,137,852
2025-07,5018,140,852
2025-08,4894,140,858
2025-09,4916,137,858
2025-10,4886,137,858
2025-11,4929,138,857
2025-12,4998,142,857
2026-01,5001,138,855
2026-02,4963,139,857
2026-03,4975,139,857
2026-04,4926,138,858
2026-05,4869,138,858
2026-06,4631,137,855
2026-07,4500,136,858
