tag,boundary,nfam,common,leak,p95,pleak,attributed,leak_excess
BEER,2024-05-10,41,0.06737072336319973,0.22787785992507809,0.15991470671304356,0.15376726495055204,False,0.16817831986810974
BFSB,2017-04-20,18,0.17088716791018532,0.13329955183859923,0.1483570543423712,0.07853884112774345,True,0.10770525035801402
CLRS,2016-09-07,9,0.18405476249060487,0.2434276554965348,0.10241620194771138,0.3297978227529884,True,0.0
CLRSnew,2016-09-07,24,0.2565834791826618,0.2624924232413087,0.20827519181166498,0.25258862166491114,True,0.07142310875700345
DBO,2011-08-17,28,0.007103268569237127,0.32561902510635,0.18345272261891524,0.28978640906682795,False,0.1484977664187675
DRAN,2020-11-14,52,0.1960386123269245,0.18625793147323152,0.23828518347123642,0.16047925920170514,False,0.09454324091524974
HEBO,2011-06-27,6,0.17380697667514938,0.051834016514625506,0.4247245915574146,0.08691603970597626,False,0.0
KHBB,2022-08-09,14,0.1275953265157706,0.2357469267154162,0.1302233596784489,0.2150968930402453,False,0.09648803065767843
KRP,2021-08-03,30,0.170254778767659,0.48134225728299884,0.2089578325190029,0.36819132038086955,False,0.3100411589490733
LCCR,2020-08-23,47,0.0014773491403295312,0.10838117939776201,0.3852574643048018,0.13690389114902368,False,0.0
PETY,2022-08-30,29,0.09819097573414891,0.2013843450036671,0.17070440976365556,0.2367920407266781,False,0.0
PETY,2025-07-23,26,0.015423911526555173,0.322890597667518,0.17070440976365556,0.2367920407266781,False,0.21951735127452268
PGCbhz,2015-01-12,81,0.355442642656448,0.1760552578325213,0.5481200837592327,0.19408366748373745,False,0.0
RAIN,2020-08-14,64,0.2974942973308581,0.3042570530526357,0.3430571233474188,0.3575852473505611,False,0.0
RAIN,2022-06-09,64,0.3659187106614832,0.47254854237840316,0.3430571233474188,0.3575852473505611,True,0.30892542106662496
SCOT,2022-10-27,29,0.3168258999748435,0.2532305768775489,0.3512708110594795,0.16079552017882398,False,0.19562854023929538
SNB,2017-06-08,51,0.01766549199433927,0.16694047014616722,0.331409092812374,0.17231739847564717,False,0.0
SP2,2011-08-25,74,0.13101592405917983,0.050840619141216466,0.1322728188745979,0.052093135968661386,False,0.0
STOR,2014-06-19,61,0.13621594114182337,0.3161185523199525,0.1770380367801253,0.3855267348469032,False,0.0
SWF2,2015-07-31,40,0.25866563956640476,0.2537902181215907,0.19243163152481618,0.10131908756130178,True,0.23268845547201059
TRIN,2022-10-26,19,0.14687836146579614,0.19173525053656695,0.5297239299604668,0.27924868382468915,False,0.0
VERN,2020-10-30,30,0.02557626348035833,0.07862723080258349,0.17222097405694786,0.08812402662161394,False,0.0
VGZ,2017-03-03,11,0.004363932909819708,0.14181149375201274,0.10464142622835111,0.0809586364088615,False,0.11643109099804448
WISH,2011-06-14,76,0.01907132410710518,0.22463126254671456,0.15364733783556003,0.11497477484546764,False,0.1929766961644981
WLOO,2020-03-15,19,0.046911150175320306,0.12796784854275914,0.11545833777417683,0.1881819166631573,False,0.0
WOOD,2025-06-04,55,0.006477127707918887,0.14115826023193248,0.1109370378563398,0.14265036147847435,False,0.0
YACT,2020-10-17,32,0.23101687011409683,0.10527990236163445,0.22401798535969195,0.1171632292810505,True,0.0
