tag,boundary,nfam,common,leak,p95,pleak,attributed,leak_excess
BEER,2024-05-10,40,0.006324012086967808,0.17023856471538754,0.14369015330607315,0.19377967814442637,False,0.0
BFSB,2017-04-20,16,0.021830170263002824,0.024056669895111293,0.11538149030435266,0.04446837997214557,False,0.0
CLRSnew,2016-09-07,21,0.011838941909194252,0.03754799398184821,0.16006436235498986,0.16744657933214188,False,0.0
DBO,2011-08-17,24,0.003306074855267586,0.0053713967624346845,0.23821670407280493,0.1251263476506908,False,0.0
DRAN,2020-11-14,48,0.011703184498280648,0.06018758069540048,0.14956183873651643,0.10917249622452196,False,0.0
HEBO,2011-06-27,6,0.27457741618549203,0.11725376120732559,0.3751744533561966,0.053426221502594906,False,0.10437472573961666
KHBB,2022-08-09,14,0.017810619626664918,0.10297727975570975,0.09397674900781115,0.15112732881441757,False,0.0
KRP,2021-08-03,29,0.3164202398072286,0.2801078194920272,0.424221330070278,0.3205216699112707,False,0.0
LCCR,2020-08-23,46,0.30560891095759896,0.2651627013526312,0.5772120764120727,0.314278208621633,False,0.0
PETY,2022-08-30,18,0.024087271284466874,0.04614899518248259,0.11810445577739999,0.0731149274514547,False,0.0
PETY,2025-07-23,18,0.021453561907786967,0.041806595373072464,0.11810445577739999,0.0731149274514547,False,0.0
PGCbhz,2015-01-12,81,0.00046483555726532517,0.000985394748564506,0.22184863438722346,0.10332689431464474,False,0.0
RAIN,2020-08-14,59,0.12485795065408736,0.16014244553440898,0.2838385022567337,0.18300650539359672,False,0.0
RAIN,2022-06-09,59,0.13460631216243155,0.1570086169213795,0.2838385022567337,0.18300650539359672,False,0.0
SCOT,2022-10-27,25,0.043999214370983815,0.16548308447560622,0.21187022407725142,0.17998093717069916,False,0.0
SNB,2017-06-08,50,0.014458559520380932,0.022147119058951836,0.3054172645859017,0.062310704305216125,False,0.0
SP2,2011-08-25,74,0.0012150672656828496,0.0009160115159497708,0.10536567079352537,0.04100225669670654,False,0.0
STOR,2014-06-19,61,0.06493522988010084,0.11929627859898767,0.13749009070687782,0.3477633058692634,False,0.0
SWF2,2015-07-31,40,0.021498984398163702,0.026037520132868475,0.10925066132061581,0.04985612981779724,False,0.0
TRIN,2022-10-26,18,0.03326463564873772,0.060561425349113095,0.3212217591623412,0.2512079275317047,False,0.0
VERN,2020-10-30,22,0.0012424645026446355,0.020237025784676517,0.17461599668065972,0.05309052736789756,False,0.0
VGZ,2017-03-03,11,0.019315482673143147,0.03399671748251454,0.09561823217309882,0.04089632200118089,False,0.0
WISH,2011-06-14,69,0.00221493801767861,0.006106815764121352,0.15359878320037532,0.060429465122835785,False,0.0
WLOO,2020-03-15,16,0.12269789136728093,0.10971793359993029,0.16951697764250245,0.13096377810975246,False,0.0
WOOD,2025-06-04,54,0.0155376330028833,0.05451997490573639,0.10850362584010215,0.13778484397552973,False,0.0
YACT,2020-10-17,32,0.03260727254262257,0.017543205318989827,0.11453345581632358,0.09943839845565608,False,0.0
