cell,cell_lat,cell_lon,src_lat,src_lon,depth_km,frac_deep,n_pairs,n_sites,n_fam,depth_center,depth_mixed
40.00_-122.40,40.0,-122.4,40.1375,-122.4125,22.235,0.0,8,8,52,16.825623115576768,False
40.00_-122.80,40.0,-122.8,40.15,-122.8,12.32,0.0,7,7,26,13.223554216867416,False
40.00_-123.20,40.0,-123.2,39.9,-123.0,12.19,0.0,1,1,1,28.916206801406613,False
40.40_-122.40,40.4,-122.4,40.425,-122.55,20.63,0.0,21,21,152,22.321011496666166,False
40.40_-122.80,40.4,-122.8,40.4,-122.75,27.61,0.19047619047619047,21,21,205,18.697006975269222,False
40.40_-123.20,40.4,-123.2,40.45,-123.0,39.46,1.0,5,5,11,26.732256809339717,False
40.80_-122.00,40.8,-122.0,40.75,-121.975,15.52,0.0,1,1,2,17.68757621951211,False
40.80_-122.40,40.8,-122.4,40.662499999999994,-122.6,20.33,0.0,18,18,75,16.802988904298893,False
40.80_-122.80,40.8,-122.8,40.85,-122.8,19.43,0.0,31,31,615,19.61460574137426,False
40.80_-123.20,40.8,-123.2,40.85,-123.05,35.515,0.7727272727272727,22,22,218,31.777749391727994,False
41.20_-122.40,41.2,-122.4,41.05,-122.5,16.9,0.0,1,1,1,14.07105820105792,False
41.20_-122.80,41.2,-122.8,41.175,-122.9,21.19,0.0,27,27,206,18.918021999169447,False
41.20_-123.20,41.2,-123.2,41.25,-123.1,32.614999999999995,0.7647058823529411,34,33,473,37.535041037861056,False
41.20_-123.60,41.2,-123.6,41.35,-123.45,39.14,1.0,1,1,1,38.115527331190506,False
41.60_-122.80,41.6,-122.8,41.6,-122.8875,19.36,0.0,16,16,55,18.47055978832618,False
41.60_-123.20,41.6,-123.2,41.6,-123.2,33.19,0.9310344827586207,29,29,290,31.386852802309726,False
41.60_-123.60,41.6,-123.6,41.675,-123.45,41.2,1.0,12,12,29,40.859204947279196,False
42.00_-123.20,42.0,-123.2,42.05,-123.3,37.57,1.0,23,22,160,32.08843522323955,False
42.00_-123.60,42.0,-123.6,42.1,-123.475,44.55,1.0,18,17,59,43.02147859678442,False
42.00_-124.00,42.0,-124.0,42.0625,-123.82499999999999,36.614999999999995,1.0,2,2,5,29.66860362158438,False
42.40_-123.20,42.4,-123.2,42.35,-123.35,35.425,0.9642857142857143,28,26,429,29.769387013585735,False
42.40_-123.60,42.4,-123.6,42.5,-123.5,35.56,0.8846153846153846,26,24,350,40.998618264659285,False
42.40_-124.00,42.4,-124.0,42.3875,-123.8,34.25,0.75,8,7,35,20.31606097806737,False
42.80_-123.20,42.8,-123.2,42.7375,-123.35,32.355,0.75,20,19,101,32.913714915386294,False
42.80_-123.60,42.8,-123.6,42.8,-123.5125,31.075,0.85,20,19,168,29.412960275085158,False
42.80_-124.00,42.8,-124.0,42.9,-123.8,26.985,0.0,4,4,9,25.769376929253266,False
43.20_-123.20,43.2,-123.2,43.1,-123.375,37.825,1.0,12,12,54,44.56513516704863,False
43.20_-123.60,43.2,-123.6,43.175,-123.525,32.96,0.9523809523809523,21,19,210,30.967902835521112,False
43.20_-124.00,43.2,-124.0,43.3,-123.85,30.01,0.5454545454545454,11,11,22,28.867209499122655,True
43.60_-123.20,43.6,-123.2,43.6,-123.375,28.94,0.36363636363636365,11,10,51,37.16881998665217,True
43.60_-123.60,43.6,-123.6,43.6,-123.55,27.744999999999997,0.16666666666666666,18,17,181,28.869357376105206,False
43.60_-124.00,43.6,-124.0,43.475,-123.82499999999999,30.955,1.0,6,6,7,31.564365197832004,False
44.00_-123.20,44.0,-123.2,44.0,-123.3,22.02,0.1111111111111111,9,8,52,20.18072931018318,False
44.00_-123.60,44.0,-123.6,44.05,-123.55,28.025,0.2857142857142857,14,13,57,27.851479084878445,False
44.00_-124.00,44.0,-124.0,43.9875,-123.8375,32.91,1.0,2,2,3,32.266189728638736,False
44.40_-123.20,44.4,-123.2,44.55,-123.35,35.45,0.7777777777777778,9,9,23,33.908513483642636,False
44.40_-123.60,44.4,-123.6,44.475,-123.6,28.96,0.17647058823529413,17,17,196,34.41392325435098,False
44.40_-124.00,44.4,-124.0,44.475,-123.8,22.035,0.0,4,4,7,25.57377630553389,False
44.80_-122.80,44.8,-122.8,44.8,-122.95,41.44,1.0,1,1,1,27.859655117931514,False
44.80_-123.20,44.8,-123.2,44.9,-123.35,28.99,0.3333333333333333,15,15,97,41.41103969754287,True
44.80_-123.60,44.8,-123.6,44.8,-123.55,28.76,0.2,20,20,238,30.373831775701387,False
44.80_-124.00,44.8,-124.0,44.625,-123.85,22.06,0.0,5,5,7,25.5161560442291,False
45.20_-122.80,45.2,-122.8,45.337500000000006,-122.95,22.225,0.0,10,10,13,27.953999999996636,False
45.20_-123.20,45.2,-123.2,45.25,-123.3,24.52,0.037037037037037035,27,27,283,19.861631108774983,False
45.20_-123.60,45.2,-123.6,45.15,-123.5,32.85,0.72,25,25,160,49.573529115777276,False
45.20_-124.00,45.2,-124.0,45.2,-123.8,38.89,1.0,1,1,1,22.07807516102419,False
45.60_-122.80,45.6,-122.8,45.6125,-122.95,26.265,0.25,8,8,11,21.7009486166005,False
45.60_-123.20,45.6,-123.2,45.625,-123.3,32.644999999999996,0.7142857142857143,28,28,267,24.93268075980494,False
45.60_-123.60,45.6,-123.6,45.575,-123.45,37.17,1.0,17,17,61,22.83300011021754,False
45.60_-124.00,45.6,-124.0,45.45,-124.05,25.33,0.0,1,1,1,26.548541881792097,False
46.00_-122.80,46.0,-122.8,46.1,-122.9,17.88,0.0,5,5,6,18.861606463878143,False
46.00_-123.20,46.0,-123.2,45.925,-123.2,33.55,0.5675675675675675,37,37,221,25.198751892116043,True
46.00_-123.60,46.0,-123.6,45.95,-123.45,16.79,0.0,7,7,11,21.23737563879486,False
46.40_-122.40,46.4,-122.4,46.575,-122.6,19.65,0.0,4,4,4,20.108209931608695,False
46.40_-122.80,46.4,-122.8,46.5,-122.85,28.89,0.4782608695652174,23,23,81,28.900009650174194,True
46.40_-123.20,46.4,-123.2,46.4,-123.17500000000001,25.885,0.45,40,40,250,25.010931404210815,True
46.40_-123.60,46.4,-123.6,46.225,-123.475,17.0,0.0,4,4,5,25.226430868167235,False
46.80_-122.40,46.8,-122.4,46.9,-122.6,44.22,0.7058823529411765,17,17,30,14.134398782345304,False
46.80_-122.80,46.8,-122.8,46.875,-122.8,40.13,0.9111111111111111,45,45,318,33.95071428571258,False
46.80_-123.20,46.8,-123.2,46.85,-123.075,37.075,0.9473684210526315,38,38,205,25.798426655411475,False
46.80_-123.60,46.8,-123.6,46.875,-123.4625,21.92,0.0,2,2,3,38.251473298232774,False
47.20_-122.40,47.2,-122.4,47.25,-122.55,37.34,0.9166666666666666,24,24,77,25.18629213483081,False
47.20_-122.80,47.2,-122.8,47.2625,-122.825,40.0,0.86,50,49,438,23.250293020040736,False
47.20_-123.20,47.2,-123.2,47.2,-123.1,41.695,1.0,50,49,395,40.13419289110537,False
47.20_-123.60,47.2,-123.6,47.15,-123.45,44.23,1.0,1,1,1,34.333889072301005,False
47.60_-122.40,47.6,-122.4,47.6,-122.6,19.45,0.06666666666666667,15,15,24,23.33073363431116,False
47.60_-122.80,47.6,-122.8,47.6,-122.85,22.14,0.14814814814814814,54,53,457,19.953556485357616,False
47.60_-123.20,47.6,-123.2,47.675,-123.15,42.935,0.8928571428571429,56,53,455,44.71679852805886,False
47.60_-123.60,47.6,-123.6,47.75,-123.4625,36.975,0.875,8,8,10,42.71172748815197,False
48.00_-122.40,48.0,-122.4,47.85,-122.6,18.87,0.0,1,1,1,54.44828635851182,False
48.00_-122.80,48.0,-122.8,48.0,-122.925,34.44,0.627906976744186,43,39,188,43.99772455088497,True
48.00_-123.20,48.0,-123.2,47.975,-123.1625,42.545,0.9814814814814815,54,47,572,41.16041666666483,False
48.00_-123.60,48.0,-123.6,48.1,-123.525,39.37,1.0,37,30,179,39.36941811287808,False
48.00_-124.00,48.0,-124.0,48.2,-123.8,31.34,1.0,8,4,9,35.46329787234046,False
