tag,stem,cell,cell_lat,cell_lon,src_lat,src_lon,src_dep,n_fam,sta_lat,sta_lon,n_days,sigma_daily,site
ALSE,alse,43.50_-123.50,43.5,-123.5,43.6,-123.5,25.84,7,44.382,-123.59,2599,0.1282,0
ALSE,alse,44.00_-123.50,44.0,-123.5,43.95,-123.6,28.94,9,44.382,-123.59,2595,0.1422,0
ALSE,alse,44.50_-123.50,44.5,-123.5,44.6,-123.525,28.43,36,44.382,-123.59,2600,0.1494,0
ALSE,alse,44.50_-124.00,44.5,-124.0,44.575,-123.8,20.55,4,44.382,-123.59,2497,0.1736,0
ALSE,alse,45.00_-123.00,45.0,-123.0,45.0,-123.2,32.2,5,44.382,-123.59,2596,0.0986,0
ALSE,alse,45.00_-123.50,45.0,-123.5,44.95,-123.5,28.3,33,44.382,-123.59,2601,0.1128,0
ALSE,alse,45.00_-124.00,45.0,-124.0,45.0,-123.75,46.79,1,44.382,-123.59,2554,0.2305,0
ANGUS,angus,46.50_-123.00,46.5,-123.0,46.55,-123.15,45.28,1,47.101,-123.493,1405,0.4201,1
ANGUS,angus,47.00_-123.00,47.0,-123.0,47.05,-123.0,41.26,11,47.101,-123.493,1603,0.1363,1
ANGUS,angus,47.00_-123.50,47.0,-123.5,47.25,-123.3,40.95,1,47.101,-123.493,1119,0.2855,1
ANGUS,angus,47.50_-122.50,47.5,-122.5,47.5,-122.7,23.86,3,47.101,-123.493,1590,0.1421,1
ANGUS,angus,47.50_-123.00,47.5,-123.0,47.45,-122.975,31.63,24,47.101,-123.493,1607,0.1452,1
ANGUS,angus,47.50_-123.50,47.5,-123.5,47.575,-123.325,41.92,2,47.101,-123.493,1524,0.3541,1
ANGUS,angus,48.00_-123.00,48.0,-123.0,47.85,-123.125,42.95,14,47.101,-123.493,1609,0.1614,1
ANGUS,angus,48.00_-123.50,48.0,-123.5,47.85,-123.325,41.49,4,47.101,-123.493,1490,0.2774,1
AONC,aonc,40.00_-122.50,40.0,-122.5,40.175,-122.4,23.82,4,39.94,-122.061,2225,0.036,2
AONC,aonc,40.50_-122.50,40.5,-122.5,40.45,-122.6,20.72,24,39.94,-122.061,2225,0.0262,2
AONC,aonc,40.50_-123.00,40.5,-123.0,40.55,-122.85,23.21,15,39.94,-122.061,2225,0.032,2
AONC,aonc,41.00_-122.50,41.0,-122.5,40.8,-122.7,19.9,3,39.94,-122.061,2225,0.0547,2
AONC,aonc,41.00_-123.00,41.0,-123.0,40.8,-123.05,32.01,7,39.94,-122.061,2225,0.032,2
ARTIC,artic,46.00_-123.00,46.0,-123.0,46.025,-123.0,23.02,8,46.805,-123.759,1928,0.0519,3
ARTIC,artic,46.00_-123.50,46.0,-123.5,45.95,-123.35,41.73,1,46.805,-123.759,1902,0.0446,3
ARTIC,artic,46.50_-122.50,46.5,-122.5,46.6,-122.65,19.89,3,46.805,-123.759,1926,0.0481,3
ARTIC,artic,46.50_-123.00,46.5,-123.0,46.5,-123.0,44.6,9,46.805,-123.759,1926,0.057,3
ARTIC,artic,46.50_-123.50,46.5,-123.5,46.4,-123.4,31.98,1,46.805,-123.759,1847,0.0915,3
ARTIC,artic,47.00_-122.50,47.0,-122.5,47.05,-122.7,44.96,5,46.805,-123.759,1925,0.0414,3
ARTIC,artic,47.00_-123.00,47.0,-123.0,46.95,-122.8,40.19,34,46.805,-123.759,1927,0.0467,3
ARTIC,artic,47.50_-122.50,47.5,-122.5,47.45,-122.7,34.96,5,46.805,-123.759,1926,0.0368,3
ARTIC,artic,47.50_-123.00,47.5,-123.0,47.45,-122.9,32.74,34,46.805,-123.759,1928,0.048,3
ARTIC,artic,47.50_-123.50,47.5,-123.5,47.5,-123.3,43.19,3,46.805,-123.759,1926,0.0663,3
B001p90f40,b001,47.50_-123.00,47.5,-123.0,47.5,-123.05,24.78,1,48.0431,-123.1314,5948,0.1112,4
B001p90f40,b001,48.00_-123.00,48.0,-123.0,48.05,-123.1,40.37,64,48.0431,-123.1314,5948,0.0864,4
B001p90f40,b001,48.00_-123.50,48.0,-123.5,48.15,-123.5,39.57,9,48.0431,-123.1314,5948,0.0969,4
B001p90f40,b001,48.00_-124.00,48.0,-124.0,48.25,-123.85,35.4,1,48.0431,-123.1314,5948,0.155,4
B001p90f40,b001,48.50_-123.00,48.5,-123.0,48.3,-123.15,18.0,5,48.0431,-123.1314,5948,0.1017,4
B001p90f40,b001,48.50_-123.50,48.5,-123.5,48.35,-123.45,24.49,6,48.0431,-123.1314,5948,0.101,4
B001p90f40,b001,48.50_-124.00,48.5,-124.0,48.5,-123.8,31.17,11,48.0431,-123.1314,5948,0.0944,4
B001p90f40,b001,49.00_-123.50,49.0,-123.5,48.8,-123.55,34.29,1,48.0431,-123.1314,5948,0.1003,4
B003p90f40,b003,48.00_-123.50,48.0,-123.5,48.25,-123.5,35.68,19,48.0624,-124.1409,5476,0.0307,5
B003p90f40,b003,48.00_-124.00,48.0,-124.0,48.2,-123.825,31.34,2,48.0624,-124.1409,4585,0.1009,5
B003p90f40,b003,48.50_-123.50,48.5,-123.5,48.4,-123.65,23.87,25,48.0624,-124.1409,5482,0.0397,5
B003p90f40,b003,48.50_-124.00,48.5,-124.0,48.5,-123.875,31.17,34,48.0624,-124.1409,5481,0.0434,5
B003p90f40,b003,49.00_-124.00,49.0,-124.0,48.8,-124.25,21.55,1,48.0624,-124.1409,5355,0.0486,5
B003p90f40,b003,49.00_-124.50,49.0,-124.5,48.75,-124.325,20.65,2,48.0624,-124.1409,5418,0.0664,5
B004p90f40,b004,48.00_-123.00,48.0,-123.0,48.25,-123.25,41.01,1,48.2019,-124.427,2491,0.3729,6
B004p90f40,b004,48.00_-123.50,48.0,-123.5,48.2,-123.55,35.46,11,48.2019,-124.427,4385,0.1825,6
B004p90f40,b004,48.50_-123.50,48.5,-123.5,48.35,-123.575,20.59,4,48.2019,-124.427,4159,0.1944,6
B004p90f40,b004,48.50_-124.00,48.5,-124.0,48.55,-123.925,29.45,20,48.2019,-124.427,4255,0.2202,6
B004p90f40,b004,48.50_-124.50,48.5,-124.5,48.7,-124.3,36.81,5,48.2019,-124.427,3959,0.2143,6
B004p90f40,b004,49.00_-124.00,49.0,-124.0,48.75,-124.175,24.37,6,48.2019,-124.427,3901,0.1822,6
B004p90f40,b004,49.00_-124.50,49.0,-124.5,48.85,-124.35,28.36,13,48.2019,-124.427,4202,0.1787,6
B004p90f40,b004,49.00_-125.00,49.0,-125.0,48.925,-124.75,31.31,4,48.2019,-124.427,4029,0.2303,6
B005p90f40,b005,47.00_-123.00,47.0,-123.0,47.25,-123.1,38.21,1,48.0595,-123.5033,5871,0.0895,7
B005p90f40,b005,47.50_-123.00,47.5,-123.0,47.6,-123.1,36.43,11,48.0595,-123.5033,5879,0.0908,7
B005p90f40,b005,48.00_-122.50,48.0,-122.5,47.75,-122.7,29.8,1,48.0595,-123.5033,5767,0.0807,7
B005p90f40,b005,48.00_-123.00,48.0,-123.0,47.9,-123.1,41.69,9,48.0595,-123.5033,5879,0.0814,7
B005p90f40,b005,48.00_-123.50,48.0,-123.5,48.05,-123.5,39.7,15,48.0595,-123.5033,5879,0.0821,7
B005p90f40,b005,48.00_-124.00,48.0,-124.0,48.25,-123.8,34.34,1,48.0595,-123.5033,5716,0.1355,7
B005p90f40,b005,48.50_-123.50,48.5,-123.5,48.45,-123.6,23.37,11,48.0595,-123.5033,5879,0.0925,7
B005p90f40,b005,48.50_-124.00,48.5,-124.0,48.575,-123.9,29.4,24,48.0595,-123.5033,5879,0.0887,7
B005p90f40,b005,49.00_-123.50,49.0,-123.5,48.85,-123.625,25.81,2,48.0595,-123.5033,5851,0.0815,7
B005p90f40,b005,49.00_-124.00,49.0,-124.0,48.85,-124.0,23.5,9,48.0595,-123.5033,5879,0.1085,7
B005p90f40,b005,49.00_-124.50,49.0,-124.5,48.85,-124.45,30.26,13,48.0595,-123.5033,5879,0.0938,7
B009p90f40,b009,48.00_-123.00,48.0,-123.0,48.2,-123.0,22.43,1,48.649,-123.451,3845,0.2654,8
B009p90f40,b009,48.00_-123.50,48.0,-123.5,48.25,-123.4,41.26,5,48.649,-123.451,5971,0.0992,8
B009p90f40,b009,48.50_-123.50,48.5,-123.5,48.4,-123.45,19.12,1,48.649,-123.451,5836,0.2369,8
B009p90f40,b009,48.50_-124.00,48.5,-124.0,48.5,-123.9,35.62,2,48.649,-123.451,5553,0.2335,8
B009p90f40,b009,48.50_-124.50,48.5,-124.5,48.7,-124.55,38.41,1,48.649,-123.451,1085,0.4271,8
B010p90f40,b010,48.00_-123.00,48.0,-123.0,48.2,-123.15,31.3,1,48.65,-123.451,5805,0.2006,8
B010p90f40,b010,48.00_-123.50,48.0,-123.5,48.2,-123.5,36.83,19,48.65,-123.451,5807,0.1156,8
B010p90f40,b010,48.00_-124.00,48.0,-124.0,48.2,-123.8,33.01,3,48.65,-123.451,5807,0.1152,8
B010p90f40,b010,48.50_-123.50,48.5,-123.5,48.4,-123.65,22.22,11,48.65,-123.451,5807,0.1015,8
B010p90f40,b010,48.50_-124.00,48.5,-124.0,48.55,-123.9,31.17,23,48.65,-123.451,5807,0.1025,8
B010p90f40,b010,48.50_-124.50,48.5,-124.5,48.65,-124.35,35.74,3,48.65,-123.451,5805,0.1229,8
B010p90f40,b010,49.00_-124.00,49.0,-124.0,48.75,-124.075,26.28,2,48.65,-123.451,5806,0.1514,8
B010p90f40,b010,49.00_-124.50,49.0,-124.5,48.9,-124.5,34.6,21,48.65,-123.451,5807,0.1171,8
B010p90f40,b010,49.00_-125.00,49.0,-125.0,48.875,-124.775,27.87,2,48.65,-123.451,5805,0.1579,8
B011p90f40,b011,48.00_-123.00,48.0,-123.0,47.95,-123.1,43.63,8,48.6495,-123.4482,5907,0.0868,8
B011p90f40,b011,48.00_-123.50,48.0,-123.5,48.1,-123.55,39.68,11,48.6495,-123.4482,5908,0.0785,8
B011p90f40,b011,48.00_-124.00,48.0,-124.0,48.225,-123.775,31.36,2,48.6495,-123.4482,5906,0.0982,8
