station,fam,coda_sigma,daynight_cc,station_fake_max,gold,grade
B001,47.150_-122.900__c263,15.2,0.64,9.58,True,GOLD
B001,47.250_-123.150__c69,9.15,0.64,9.58,False,TRUSTED
B001,47.500_-123.250__c558,18.33,0.91,9.58,True,GOLD
B001,47.600_-122.550__c163,36.15,0.9,9.58,True,GOLD
B001,47.700_-122.700__c774,19.65,0.86,9.58,True,GOLD
B001,48.000_-123.700__c425,44.2,0.9,9.58,True,GOLD
B001,48.350_-123.500__c846,27.85,0.75,9.58,True,GOLD
B001,48.750_-124.250__c34,30.55,0.84,9.58,True,GOLD
B001,47.750_-123.400__c155,6.88,0.31,9.58,False,TRUSTED
B001,47.850_-123.350__c732,7.11,0.65,9.58,False,TRUSTED
B001,47.900_-123.000__c803,25.62,0.93,9.58,True,GOLD
B001,47.950_-123.150__c497,2.94,0.23,9.58,False,UNDETERMINED
B001,48.400_-122.850__c484,1.88,0.25,9.58,False,UNDETERMINED
B001,48.500_-123.600__c661,21.02,0.61,9.58,True,GOLD
B001,47.400_-122.850__c245,30.79,0.87,9.58,True,GOLD
B001,48.100_-123.250__c542,6.54,0.51,9.58,False,UNDETERMINED
B001,48.400_-123.850__c954,0.86,,9.58,False,FAIL
B001,47.250_-122.850__c191,17.85,0.79,9.58,True,GOLD
B001,47.300_-123.200__c496,-0.09,0.14,9.58,False,FAIL
B001,48.400_-122.850__c665,18.4,0.87,9.58,True,GOLD
B001,48.950_-124.200__c338,13.44,0.64,9.58,True,GOLD
B001,47.950_-123.350__c644,7.32,0.48,9.58,False,TRUSTED
B001,48.050_-123.400__c46,14.65,0.79,9.58,True,GOLD
B001,48.100_-122.750__c175,15.49,0.36,9.58,True,GOLD
B001,48.200_-123.150__c277,19.11,0.73,9.58,True,GOLD
B001,48.200_-123.650__c708,36.67,0.95,9.58,True,GOLD
B001,48.500_-123.900__c545,17.99,0.77,9.58,True,GOLD
B001,47.800_-123.150__c178,17.36,0.77,9.58,True,GOLD
B001,47.850_-123.100__c671,37.49,0.94,9.58,True,GOLD
B001,47.900_-123.000__c724,26.62,0.93,9.58,True,GOLD
B001,48.350_-122.850__c764,-1.22,0.29,9.58,False,FAIL
B001,48.400_-123.200__c904,13.42,0.58,9.58,True,GOLD
B001,48.900_-123.950__c723,4.62,0.35,9.58,False,UNDETERMINED
B001,48.000_-123.350__c778,22.35,0.67,9.58,True,GOLD
B001,47.600_-123.100__c473,3.16,0.63,9.58,False,UNDETERMINED
B001,47.800_-122.850__c178,14.18,0.72,9.58,True,GOLD
B001,48.000_-123.200__c851,5.04,0.73,9.58,False,UNDETERMINED
B001,48.200_-123.600__c118,3.63,0.55,9.58,False,UNDETERMINED
B001,48.250_-123.550__c838,8.09,0.28,9.58,False,UNDETERMINED
B001,48.500_-124.000__c499,3.47,0.24,9.58,False,UNDETERMINED
B001,47.350_-122.950__c582,21.35,0.63,9.58,True,GOLD
B001,48.650_-123.400__c335,4.33,0.58,9.58,False,UNDETERMINED
B001,48.650_-123.550__c439,37.93,0.86,9.58,True,GOLD
B001,48.400_-122.700__c128,13.72,0.28,9.58,True,GOLD
B001,48.000_-122.950__c11,1.99,,9.58,False,UNDETERMINED
B001,47.750_-123.050__c558,17.03,0.53,9.58,True,GOLD
B001,47.900_-123.150__c186,14.45,0.33,9.58,True,GOLD
B001,48.000_-122.850__c737,30.74,0.88,9.58,True,GOLD
B001,48.300_-123.100__c289,7.96,0.56,9.58,False,TRUSTED
B001,47.900_-122.950__c77,11.14,0.5,9.58,True,GOLD
B001,48.200_-123.300__c833,9.99,0.31,9.58,True,GOLD
B001,48.400_-123.150__c446,3.38,0.23,9.58,False,UNDETERMINED
B001,47.950_-122.800__c589,29.51,0.8,9.58,True,GOLD
B001,48.700_-123.850__c915,21.88,0.85,9.58,True,GOLD
B001,47.150_-122.950__c280,39.82,0.92,9.58,True,GOLD
B001,48.000_-123.400__c14,6.69,0.42,9.58,False,UNDETERMINED
B001,48.050_-122.950__c93,8.04,0.61,9.58,False,TRUSTED
B001,48.500_-124.100__c324,12.56,0.31,9.58,True,GOLD
B001,48.200_-123.150__c961,21.36,0.81,9.58,True,GOLD
B001,48.450_-123.850__c40,13.61,,9.58,True,GOLD
B001,48.100_-123.600__c664,36.41,0.86,9.58,True,GOLD
B001,48.050_-123.300__c131,17.11,0.59,9.58,True,GOLD
B001,48.000_-122.900__c232,12.97,0.69,9.58,True,GOLD
B001,48.100_-122.950__c67,4.06,0.44,9.58,False,UNDETERMINED
B001,48.250_-122.800__c77,13.54,0.71,9.58,True,GOLD
B001,47.700_-123.150__c574,0.85,0.07,9.58,False,FAIL
B001,48.450_-123.250__c121,14.71,0.78,9.58,True,GOLD
B001,48.650_-124.100__c814,6.33,0.72,9.58,False,UNDETERMINED
B001,47.900_-123.050__c505,20.72,0.95,9.58,True,GOLD
B001,48.500_-123.850__c61,0.35,-0.06,9.58,False,FAIL
B001,48.000_-123.100__c352,4.37,0.43,9.58,False,UNDETERMINED
B001,48.350_-122.750__c410,8.77,0.68,9.58,False,TRUSTED
B001,48.300_-123.050__c702,16.64,0.43,9.58,True,GOLD
B001,47.300_-122.800__c161,2.36,0.21,9.58,False,UNDETERMINED
B001,48.200_-123.050__c758,0.86,0.41,9.58,False,FAIL
B001,48.650_-124.300__c136,1.22,,9.58,False,UNDETERMINED
B001,48.100_-122.850__c767,22.41,0.64,9.58,True,GOLD
B001,48.000_-123.200__c914,16.54,0.84,9.58,True,GOLD
B001,47.600_-122.850__c651,6.51,0.56,9.58,False,UNDETERMINED
B001,48.100_-123.000__c572,12.74,0.78,9.58,True,GOLD
B001,47.750_-122.800__c627,31.09,0.76,9.58,True,GOLD
B001,47.600_-123.150__c67,44.09,0.94,9.58,True,GOLD
B001,48.850_-123.800__c805,19.92,0.7,9.58,True,GOLD
B001,48.000_-123.700__c200,5.6,0.64,9.58,False,UNDETERMINED
B001,47.600_-123.350__c354,16.55,0.8,9.58,True,GOLD
B001,48.750_-124.300__c841,1.4,,9.58,False,UNDETERMINED
B001,47.700_-123.550__c23,16.24,0.85,9.58,True,GOLD
B001,47.550_-123.300__c47,56.07,0.83,9.58,True,GOLD
B001,48.300_-123.800__c518,5.1,0.41,9.58,False,UNDETERMINED
B001,48.750_-123.850__c448,0.09,,9.58,False,FAIL
B001,48.950_-123.900__c701,2.53,-0.22,9.58,False,UNDETERMINED
B001,47.550_-122.900__c665,5.35,-0.01,9.58,False,UNDETERMINED
B001,48.100_-123.050__c630,19.94,0.83,9.58,True,GOLD
B001,48.650_-124.000__c783,41.51,0.82,9.58,True,GOLD
B001,48.000_-123.600__c221,2.84,0.32,9.58,False,UNDETERMINED
B001,47.550_-122.550__c26,33.35,0.86,9.58,True,GOLD
B001,48.750_-123.850__c765,12.15,0.68,9.58,True,GOLD
B001,48.500_-123.500__c634,25.58,0.71,9.58,True,GOLD
B001,48.100_-123.200__c325,4.98,0.5,9.58,False,UNDETERMINED
B001,48.200_-123.000__c703,37.77,0.92,9.58,True,GOLD
B003,47.350_-122.850__c1038,-1.53,0.07,6.6,False,FAIL
B003,47.400_-123.100__c278,2.38,0.16,6.6,False,UNDETERMINED
B003,47.500_-123.050__c1051,1.12,0.19,6.6,False,UNDETERMINED
B003,47.600_-123.250__c927,3.44,0.34,6.6,False,TRUSTED
B003,47.700_-123.150__c238,0.05,0.14,6.6,False,FAIL
B003,48.100_-123.000__c274,-0.56,0.21,6.6,False,FAIL
B003,48.200_-122.900__c1221,0.54,0.03,6.6,False,UNDETERMINED
B003,48.250_-122.900__c248,0.63,0.09,6.6,False,UNDETERMINED
B003,48.250_-123.050__c804,1.22,0.26,6.6,False,UNDETERMINED
B003,48.250_-123.250__c206,-0.3,0.34,6.6,False,FAIL
B003,48.250_-123.400__c222,-0.36,0.04,6.6,False,FAIL
B003,48.350_-123.050__c50,-1.46,-0.23,6.6,False,FAIL
B003,48.350_-123.350__c911,-1.34,0.01,6.6,False,FAIL
B003,48.400_-122.800__c148,0.93,0.19,6.6,False,UNDETERMINED
B003,48.400_-123.250__c630,-0.01,-0.15,6.6,False,FAIL
B003,48.400_-123.650__c68,-0.05,0.27,6.6,False,FAIL
B003,48.500_-123.600__c256,0.56,0.36,6.6,False,UNDETERMINED
B003,48.550_-123.400__c589,-1.57,-0.14,6.6,False,FAIL
B003,48.600_-123.500__c110,0.62,0.15,6.6,False,UNDETERMINED
B003,48.650_-123.250__c752,-1.34,0.08,6.6,False,FAIL
B003,48.650_-123.650__c132,-0.91,-0.11,6.6,False,FAIL
B003,48.700_-123.850__c21,-0.13,0.4,6.6,False,FAIL
B003,48.750_-123.350__c306,2.21,0.49,6.6,False,UNDETERMINED
B003,48.850_-123.400__c198,3.32,0.45,6.6,False,UNDETERMINED
B003,47.350_-123.150__c600,-1.59,-0.01,6.6,False,FAIL
B003,47.500_-123.300__c187,0.1,0.22,6.6,False,FAIL
B003,47.700_-122.850__c1248,0.38,0.28,6.6,False,FAIL
B003,47.800_-123.150__c538,-0.09,0.22,6.6,False,FAIL
B003,47.950_-122.900__c360,-1.76,-0.11,6.6,False,FAIL
B003,48.100_-123.150__c1096,-0.74,-0.11,6.6,False,FAIL
B003,48.350_-123.200__c442,-1.82,0.11,6.6,False,FAIL
B003,48.400_-122.800__c790,1.46,0.41,6.6,False,UNDETERMINED
B003,48.500_-123.250__c382,-0.65,-0.02,6.6,False,FAIL
B003,48.600_-123.550__c224,-1.83,-0.07,6.6,False,FAIL
B003,48.650_-123.300__c210,0.4,-0.2,6.6,False,FAIL
B003,48.700_-123.600__c1187,2.3,0.52,6.6,False,UNDETERMINED
B003,47.500_-123.300__c811,-0.59,-0.04,6.6,False,FAIL
B003,47.650_-123.200__c1042,-1.17,0.33,6.6,False,FAIL
B003,48.250_-123.200__c617,-1.23,-0.19,6.6,False,FAIL
B003,48.700_-123.200__c49,1.33,0.06,6.6,False,UNDETERMINED
B003,48.700_-123.450__c651,0.24,-0.12,6.6,False,FAIL
B003,47.750_-122.900__c512,2.02,0.37,6.6,False,UNDETERMINED
B003,48.250_-123.550__c744,-0.43,-0.01,6.6,False,FAIL
B003,48.500_-123.250__c546,-0.05,0.31,6.6,False,FAIL
