fam,tier,coda_sigma,n,slope,ci_lo,ci_hi,r2,cls
46.150_-123.100__c386,GOLD,31.3,6619,-0.001,-0.036,0.035,0.0,DECOUPLED
46.200_-123.050__c300,GOLD,14.4,6618,0.001,-0.034,0.039,0.0,DECOUPLED
46.350_-123.100__c244,other,10.7,6615,-0.014,-0.052,0.026,0.0,DECOUPLED
46.400_-123.200__c479,other,11.8,6618,-0.055,-0.092,-0.012,0.07,ANOMALOUS
46.550_-122.750__c395,GOLD,21.2,6619,0.098,0.07,0.131,0.13,SHALLOW-COUPLED
46.700_-123.100__c385,GOLD,17.2,6619,-0.121,-0.158,-0.078,0.13,ANOMALOUS
46.700_-123.200__c157,other,7.0,6619,0.069,0.027,0.104,0.05,SHALLOW-COUPLED
46.750_-122.650__c376,GOLD,24.4,6617,0.001,-0.027,0.035,0.0,DECOUPLED
46.750_-122.850__c680,other,8.9,6612,0.281,0.156,0.385,0.12,SHALLOW-COUPLED
46.850_-122.550__c206,other,6.4,6619,0.167,0.112,0.218,0.18,SHALLOW-COUPLED
46.900_-122.700__c748,GOLD,31.8,6618,0.042,0.013,0.074,0.03,SHALLOW-COUPLED
46.900_-123.050__c43,other,6.0,6616,-0.143,-0.22,-0.044,0.08,ANOMALOUS
46.950_-122.700__c260,GOLD,22.0,6619,0.064,0.041,0.084,0.09,SHALLOW-COUPLED
47.000_-122.700__c103,GOLD,27.2,6619,0.061,0.034,0.088,0.06,SHALLOW-COUPLED
47.000_-122.800__c491,GOLD,15.5,6587,0.104,0.047,0.152,0.07,SHALLOW-COUPLED
47.100_-122.700__c375,GOLD,19.3,6617,0.069,0.03,0.102,0.05,SHALLOW-COUPLED
47.100_-122.950__c38,GOLD,30.7,6619,0.069,0.048,0.089,0.14,SHALLOW-COUPLED
47.300_-122.900__c337,GOLD,18.9,6619,-0.112,-0.155,-0.065,0.09,ANOMALOUS
47.350_-122.500__c645,FAIL,0.0,6060,-0.159,-0.296,0.013,0.03,DECOUPLED
47.350_-122.700__c513,GOLD,18.1,6619,0.072,0.038,0.109,0.05,SHALLOW-COUPLED
47.350_-123.300__c221,GOLD,36.3,6619,-0.014,-0.044,0.02,0.0,DECOUPLED
47.350_-123.300__c253,GOLD,12.2,6613,0.017,-0.031,0.063,0.0,DECOUPLED
47.400_-122.450__c234,other,11.2,6616,0.092,0.035,0.142,0.04,SHALLOW-COUPLED
47.400_-123.250__c578,GOLD,21.2,6616,0.011,-0.009,0.029,0.01,DECOUPLED
47.450_-122.950__c1073,GOLD,25.1,6616,0.067,0.033,0.1,0.05,SHALLOW-COUPLED
47.450_-123.400__c176,other,11.4,6619,-0.094,-0.139,-0.051,0.07,ANOMALOUS
47.650_-122.700__c149,GOLD,18.1,6619,-0.1,-0.139,-0.061,0.08,ANOMALOUS
47.750_-122.700__c546,GOLD,31.5,6619,-0.007,-0.034,0.014,0.0,DECOUPLED
47.750_-123.100__c719,other,4.3,6610,0.165,0.065,0.254,0.09,SHALLOW-COUPLED
47.800_-122.800__c524,other,7.5,6613,0.207,0.102,0.303,0.09,SHALLOW-COUPLED
47.800_-122.900__c507,other,6.2,6618,-0.052,-0.093,-0.008,0.04,ANOMALOUS
47.900_-123.200__c28,GOLD,28.0,6619,0.071,0.045,0.099,0.1,SHALLOW-COUPLED
