station,patch,n_days,first,last,span_d,cov_station,cov_own_span,max_gap_d,p90_gap_d,med_cc,med_nstack,flag_gappy,flag_bursty,flag_short,flag_lowcc,quality
B004,47.600_-123.100__c620,4369,2005-11-23,2025-09-15,7237,0.633,0.658,337,2.0,0.967,26,False,False,False,False,GOOD
B004,47.700_-123.250__c1309,104,2007-10-05,2024-10-19,6225,0.015,0.018,3128,6.0,0.934,15,True,True,False,False,BAD
B004,47.750_-123.100__c378,2759,2005-11-10,2026-06-03,7511,0.4,0.4,248,3.0,0.928,22,True,True,False,False,BAD
B004,47.800_-123.400__c917,3649,2005-11-28,2024-10-19,6901,0.528,0.577,290,3.0,0.743,24,False,False,False,False,GOOD
B004,47.850_-123.100__c776,2282,2006-01-21,2026-05-29,7434,0.33,0.334,267,4.0,0.927,20,True,True,False,False,BAD
B004,48.050_-123.700__c580,3274,2005-12-07,2024-10-19,6892,0.474,0.518,323,3.0,0.982,23,True,False,False,False,BAD
B004,48.150_-123.300__c624,3754,2005-11-24,2024-10-19,6905,0.544,0.593,368,2.0,0.948,26,False,False,False,False,GOOD
B004,48.150_-123.550__c215,2480,2005-12-10,2024-10-19,6889,0.359,0.393,780,3.0,0.992,23,True,True,False,False,BAD
B004,48.150_-123.600__c946,5152,2005-11-12,2026-06-03,7509,0.746,0.746,245,2.0,0.989,26,False,False,False,False,GOOD
B004,48.350_-123.100__c1219,2412,2005-12-10,2024-11-09,6910,0.349,0.381,733,3.0,0.785,21,True,True,False,False,BAD
B004,48.400_-123.750__c510,3463,2005-12-06,2025-10-19,7258,0.502,0.52,561,3.0,0.931,23,False,False,False,False,GOOD
B004,48.400_-123.850__c1161,4272,2005-11-25,2025-10-07,7257,0.619,0.641,289,2.0,0.984,25,False,False,False,False,GOOD
B004,48.450_-123.100__c191,2764,2005-11-12,2026-06-04,7510,0.4,0.4,259,3.0,0.951,22,True,True,False,False,BAD
B004,48.500_-123.700__c309,3821,2005-11-25,2024-10-19,6904,0.553,0.604,368,2.0,0.98,26,False,False,False,False,GOOD
B004,48.550_-123.300__c644,2086,2005-12-14,2025-10-19,7250,0.302,0.313,557,5.0,0.783,17,True,True,False,False,BAD
B004,48.600_-123.500__c54,667,2005-12-16,2024-10-19,6883,0.097,0.106,1782,6.5,0.972,13,True,True,False,False,BAD
B004,48.600_-124.050__c292,3398,2005-12-07,2025-10-28,7266,0.492,0.509,232,3.0,0.957,21,True,False,False,False,BAD
B004,48.600_-124.200__c653,3322,2005-11-28,2024-10-19,6901,0.481,0.525,621,3.0,0.982,22,True,False,False,False,BAD
B004,48.700_-123.650__c1231,1515,2005-12-14,2024-11-09,6906,0.219,0.239,742,6.0,0.946,15,True,True,False,False,BAD
B004,48.700_-124.150__c1318,2081,2005-12-23,2025-10-19,7241,0.301,0.313,560,5.0,0.963,18,True,True,False,False,BAD
B004,48.750_-124.500__c253,2446,2005-11-11,2026-05-28,7504,0.354,0.355,248,3.0,0.945,19,True,True,False,False,BAD
B004,48.750_-124.550__c138,2342,2005-11-11,2026-06-02,7509,0.339,0.339,249,3.0,0.954,19,True,True,False,False,BAD
B004,48.850_-124.300__c345,1940,2005-12-13,2024-11-09,6907,0.281,0.306,734,4.0,0.903,19,True,True,False,False,BAD
B004,48.850_-124.350__c503,4683,2005-11-23,2025-10-19,7271,0.678,0.701,257,2.0,0.982,25,False,False,False,False,GOOD
B004,48.900_-124.550__c933,2651,2005-12-25,2025-10-28,7248,0.384,0.398,238,4.0,0.738,19,True,True,False,False,BAD
